loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[8.315235],0,,,,,,,,,,
[0.23624285],100,,,,,,,,,,
[0.06256935],200,,,,,,,,,,
[0.030868467],300,,,,,,,,,,
[0.018997543],400,,,,,,,,,,
[0.014525672],500,,,,,,,,,,
[0.014926419],600,,,,,,,,,,
[0.01529755],700,,,,,,,,,,
[0.010535834],800,,,,,,,,,,
[0.008018948],900,,,,,,,,,,
,,0,-0.004161063,0.57239014,0.010150793,0.506515,20.0,-2.1674316,0.3,44.0,0.05
,,1,-0.004608475,0.57255507,0.008461848,0.5072843,40.0,-2.5892277,0.3,84.0,0.2
,,2,-0.0033295052,0.57363,0.007696061,0.51270413,60.0,-2.3009787,0.4,124.0,0.125
,,3,-0.001049252,0.5740807,0.0087980535,0.51372004,80.0,-1.8720019,0.55,164.0,0.075
,,4,0.0028326316,0.5738108,0.011387177,0.5154798,100.0,-2.1352437,0.55,204.0,0.175
,,5,0.0012469904,0.5773177,0.009859947,0.51662433,120.0,-2.2451012,0.85,244.0,0.2
,,6,0.00352079,0.5751259,0.011265803,0.5172473,140.0,-2.277407,0.7,284.0,0.2
,,7,0.001786431,0.5759617,0.009018184,0.5191138,160.0,-2.0718944,0.55,324.0,0.125
,,8,0.004227197,0.57555044,0.009672249,0.52078724,180.0,-2.2540007,0.6,364.0,0.225
,,9,0.0011514437,0.57625467,0.006446885,0.52190864,200.0,-2.3080971,0.7,404.0,0.125
,,10,-0.0019015488,0.57615954,0.004504994,0.5248529,220.0,-2.4096756,0.55,444.0,0.325
,,11,-0.0021706223,0.5746869,0.003289677,0.5250238,240.0,-2.2054584,0.6,484.0,0.125
,,12,-0.0020005254,0.57634723,0.002715405,0.5264058,260.0,-1.970545,0.75,524.0,0.3
,,13,-0.0016795215,0.57592094,0.0020087417,0.52766633,280.0,-1.7268624,0.75,564.0,0.2
,,14,-0.0017993099,0.5768995,0.0014754233,0.5290215,300.0,-2.5648654,0.95,604.0,0.15
,,15,-0.0015360685,0.57545376,0.0015296886,0.52837574,320.0,-2.6594267,0.9,644.0,0.225
,,16,6.0089864e-05,0.57721996,0.0010378888,0.5305148,340.0,-2.3732045,0.85,684.0,0.225
,,17,0.0020110477,0.57676005,0.0014592777,0.5299071,360.0,-1.8987476,0.95,724.0,0.425
,,18,0.002762283,0.5753579,0.0017358989,0.5289441,380.0,-2.0368617,0.95,764.0,0.4
,,19,0.0006513207,0.5757271,0.00080507237,0.52968806,400.0,-2.472098,0.85,804.0,0.425
,,20,0.0022304733,0.57611907,0.0019293022,0.5301793,420.0,-2.2565868,1.0,844.0,0.475
,,21,0.0006882828,0.576442,0.0013842331,0.5306132,440.0,-1.9469048,1.0,884.0,0.325
,,22,0.001755409,0.5767202,0.0012593379,0.5321251,460.0,-2.241701,0.95,924.0,0.45
,,23,0.0021318807,0.5783726,0.0015018565,0.53348476,480.0,-2.6415367,0.85,964.0,0.225
,,24,0.004478049,0.5781796,0.0024365394,0.5331079,500.0,-2.1241984,1.0,1004.0,0.225
,,25,0.004089301,0.5779575,0.0017900702,0.5336725,520.0,-2.381129,0.85,1044.0,0.175
,,26,0.0060381484,0.5783671,0.0027087345,0.5342567,540.0,-3.1798046,0.95,1084.0,0.175
,,27,0.0040159207,0.5777848,0.0015756267,0.53404796,560.0,-2.2919638,1.0,1124.0,0.3
,,28,0.0053207153,0.57748437,0.0018058182,0.5336876,580.0,-2.4084122,0.85,1164.0,0.35
,,29,0.004719385,0.5772029,0.0012746123,0.5331775,600.0,-2.367127,0.9,1204.0,0.25
