loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[31.214441],0,,,,,,,,,,
[2.3531976],100,,,,,,,,,,
[1.215584],200,,,,,,,,,,
[1.1452792],300,,,,,,,,,,
[0.9470674],400,,,,,,,,,,
[0.7586436],500,,,,,,,,,,
[0.864338],600,,,,,,,,,,
[0.75074804],700,,,,,,,,,,
[0.69589406],800,,,,,,,,,,
[0.37856463],900,,,,,,,,,,
[0.37568557],1000,,,,,,,,,,
[0.30338466],1100,,,,,,,,,,
[0.336241],1200,,,,,,,,,,
[0.30541527],1300,,,,,,,,,,
[0.23061205],1400,,,,,,,,,,
[0.29607445],1500,,,,,,,,,,
[0.2960275],1600,,,,,,,,,,
[0.30303606],1700,,,,,,,,,,
[0.26764804],1800,,,,,,,,,,
[0.22419499],1900,,,,,,,,,,
,,53,0.8753841,0.1064081,0.20417665,0.05609883,1080.0,-10.234388,0.1,10804.0,0.015
,,54,0.87536496,0.10636739,0.20418304,0.05593184,1100.0,-11.375093,0.0,11004.0,0.015
,,55,0.8753546,0.10634467,0.20419842,0.05579642,1120.0,-8.649666,0.1,11204.0,0.035
,,56,0.87545174,0.1063542,0.20421469,0.0556906,1140.0,-10.058053,0.05,11404.0,0.02
,,57,0.8754847,0.10639167,0.20422684,0.055547275,1160.0,-9.332387,0.0,11604.0,0.025
,,58,0.87556547,0.106456496,0.2042417,0.055439048,1180.0,-11.924157,0.0,11804.0,0.035
,,59,0.8755894,0.10640892,0.20423931,0.055280976,1200.0,-9.398285,0.0,12004.0,0.03
,,60,0.8756854,0.10642883,0.20424303,0.055136353,1220.0,-10.777726,0.0,12204.0,0.015
,,61,0.8757333,0.10640945,0.20425011,0.055019587,1240.0,-9.482379,0.0,12404.0,0.035
,,62,0.87572986,0.10642296,0.20424885,0.05487405,1260.0,-11.5769415,0.0,12604.0,0.045
,,63,0.87571937,0.106412,0.20422849,0.054760844,1280.0,-12.223463,0.05,12804.0,0.04
,,64,0.87576914,0.1063988,0.20422533,0.054587897,1300.0,-9.637012,0.0,13004.0,0.05
,,65,0.8757296,0.10635492,0.2042281,0.054432318,1320.0,-11.007687,0.05,13204.0,0.04
,,66,0.87574,0.106347315,0.20423323,0.054347333,1340.0,-10.534709,0.05,13404.0,0.03
,,67,0.87567097,0.1062812,0.20425695,0.054249104,1360.0,-11.917312,0.0,13604.0,0.025
,,68,0.8755908,0.10627788,0.20425475,0.054135174,1380.0,-10.690864,0.0,13804.0,0.035
,,69,0.8755455,0.10622171,0.20423383,0.054003228,1400.0,-11.363326,0.0,14004.0,0.05
,,70,0.8754937,0.10620755,0.20424461,0.05386545,1420.0,-14.048891,0.0,14204.0,0.03
,,71,0.8754929,0.106195055,0.20423496,0.053777948,1440.0,-10.740927,0.0,14404.0,0.015
,,72,0.8755215,0.10617719,0.20423152,0.05368859,1460.0,-12.69145,0.0,14604.0,0.05
,,73,0.87550575,0.10615319,0.20423357,0.053537358,1480.0,-12.432832,0.0,14804.0,0.055
,,74,0.87548584,0.10615473,0.20422259,0.05352436,1500.0,-10.238618,0.05,15004.0,0.035
,,75,0.87549,0.1060935,0.20422943,0.05338742,1520.0,-10.995318,0.05,15204.0,0.04
,,76,0.8755706,0.1061157,0.2042401,0.0532917,1540.0,-9.8050995,0.05,15404.0,0.025
,,77,0.8755448,0.10609307,0.2042287,0.053215805,1560.0,-9.867693,0.05,15604.0,0.04
,,78,0.87545174,0.106065236,0.20420767,0.05313465,1580.0,-9.929211,0.0,15804.0,0.02
,,79,0.87550426,0.106076896,0.20421396,0.053004924,1600.0,-14.296803,0.05,16004.0,0.04
,,80,0.87549704,0.1060886,0.20421499,0.052887827,1620.0,-12.164459,0.05,16204.0,0.03
,,81,0.8755254,0.10611559,0.20421785,0.05285649,1640.0,-11.629135,0.1,16404.0,0.04
,,82,0.8755109,0.10611609,0.20421615,0.0527566,1660.0,-10.680414,0.0,16604.0,0.03
,,83,0.8756144,0.10614747,0.20422979,0.05266254,1680.0,-13.176617,0.05,16804.0,0.05
,,84,0.87564754,0.10613576,0.20423199,0.052796736,1700.0,-9.419027,0.1,17004.0,0.03
,,85,0.87563276,0.10612899,0.20422095,0.052732565,1720.0,-10.728435,0.1,17204.0,0.035
,,86,0.8756549,0.10613638,0.20421743,0.052642874,1740.0,-10.77895,0.0,17404.0,0.045
,,87,0.87563115,0.10608957,0.20420796,0.05253928,1760.0,-11.756065,0.0,17604.0,0.045
,,88,0.8756738,0.106133044,0.2042132,0.05242889,1780.0,-11.780133,0.0,17804.0,0.015
,,89,0.8756113,0.10610553,0.20418827,0.052344736,1800.0,-12.590518,0.05,18004.0,0.035
,,90,0.87569934,0.106114425,0.20419477,0.052371167,1820.0,-11.473465,0.0,18204.0,0.04
,,91,0.8756431,0.10611387,0.20418875,0.052271347,1840.0,-11.836936,0.0,18404.0,0.025
,,92,0.8756241,0.10609168,0.20417862,0.052234516,1860.0,-9.679473,0.05,18604.0,0.045
,,93,0.87568814,0.10612363,0.20417368,0.05217624,1880.0,-9.790666,0.15,18804.0,0.04
,,94,0.8756959,0.10613798,0.20416836,0.052090462,1900.0,-9.879227,0.1,19004.0,0.025
,,95,0.8757145,0.10612924,0.20416962,0.05198281,1920.0,-10.911848,0.1,19204.0,0.03
,,96,0.87569976,0.10612414,0.20417018,0.051886424,1940.0,-10.36068,0.05,19404.0,0.06
,,97,0.8757074,0.10613594,0.2041763,0.05178893,1960.0,-10.948693,0.05,19604.0,0.05
,,98,0.87571925,0.10610416,0.20417555,0.051693514,1980.0,-11.298938,0.0,19804.0,0.015
,,99,0.87572813,0.10608926,0.20417434,0.05159593,2000.0,-11.724222,0.05,20004.0,0.02
