epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
21,0.20353678,0.04144411,-9.237113,-9.237113,220,0.0,0.0,0.0,-0.1732046699879207,-0.17320509765605877,-0.17320516658391777,-40.0,8800,nan,nan,880,0.0,0.0,0.0,-0.17320486109022493,-0.17320509746255577,-0.17320511636135075,-40.0,35200
22,0.20349278,0.04143529,-9.557502,-9.557502,230,0.0,0.0,0.0,-0.17320472298404319,-0.17320509935068784,-0.17320510553047508,-40.0,9200,nan,nan,920,0.0,0.0,0.0,-0.17320485678406575,-0.1733110797912622,-0.17410840703205582,-40.0,36800
23,0.2035782,0.041399814,-9.891431,-9.891431,240,0.0,0.0,0.0,-0.17320475473639832,-0.17320509629409797,-0.17320515469468825,-40.0,9600,nan,nan,960,0.0,0.0,0.0,-0.17320487973255178,-0.17320509741448145,-0.173205107276329,-40.0,38400
24,0.20349999,0.041325904,-10.305199,-10.305199,250,0.0,0.0,0.0,-0.17320466574350718,-0.17320509990275157,-0.1732051055315691,-40.0,10000,nan,nan,1000,0.0,0.0,0.0,-0.17320494416252052,-0.17320509894927372,-0.17320511906477665,-40.0,40000
25,0.20350157,0.041342616,-10.6523485,-10.6523485,260,0.0,0.0,0.0,-0.17320506144126965,-0.1732051015086099,-0.1732051055187164,-40.0,10400,nan,nan,1040,0.0,0.0,0.0,-0.17320484453531002,-0.17357502972318972,-0.17701320079458674,-40.0,41600
26,0.2033769,0.04133254,-10.951516,-10.951516,270,0.0,0.0,0.0,-0.1732046837130146,-0.17320509976546147,-0.17320512285123585,-40.0,10800,nan,nan,1080,0.0,0.0,0.0,-0.17320489508224926,-0.17347434225213795,-0.17840289238627305,-40.0,43200
27,0.20336847,0.04133564,-11.3181505,-11.3181505,280,0.0,0.0,0.0,-0.17320482721889088,-0.17320509618516255,-0.17320513349125624,-40.0,11200,nan,nan,1120,0.0,0.0,0.0,-0.17320490693987292,-0.17320509852778548,-0.17320511395200788,-40.0,44800
28,0.20340206,0.041312095,-11.610161,-11.610161,290,0.0,0.0,0.0,-0.173204661257422,-0.17320510003745634,-0.17320510552577534,-40.0,11600,nan,nan,1160,0.0,0.0,0.0,-0.1732049224524967,-0.1732050982505044,-0.17320513256752879,-40.0,46400
29,0.20343944,0.041301016,-11.921961,-11.921961,300,0.0,0.0,0.0,-0.1732047456775355,-0.1732050969402308,-0.17320510545315224,-40.0,12000,nan,nan,1200,0.0,0.0,0.0,-0.17320482717580354,-0.17320509681868007,-0.17320513394441153,-40.0,48000
30,0.20346755,0.04130191,-12.237658,-12.237658,310,0.0,0.0,0.0,-0.1732048498597336,-0.17320509980577184,-0.17320515201670456,-40.0,12400,nan,nan,1240,0.0,0.0,0.0,-0.17320483377021223,-0.1732050974245712,-0.17320512889311074,-40.0,49600
