epoch,loss
0,-657.2778706820944
50,-773.1767572225871
100,-877.144760136063
150,-978.0322275594136
200,-1077.3590908455685
250,-1175.8188619809066
300,-1272.741343259724
350,-1366.9566408252185
400,-1457.4934587213672
450,-1543.8359949633898
500,-1625.8795580842852
550,-1703.3860612482406
600,-1775.97261082666
650,-1843.28064364463
700,-1905.0364442839052
750,-1960.8605843527844
800,-2010.1734236790899
850,-2052.4153337421144
900,-2087.3899485738793
950,-2115.4665228483173
