epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
21,0.2014868,0.13260664,-7.513956,-7.513956,220,1.0,0.27,0.0,-0.004162315157365411,-0.11409550385080638,-0.23131667723694735,-29.2,8800,nan,nan,880,0.0,0.0,0.0,-0.15286946298496334,-0.20051796639348457,-0.3163817271884927,-40.0,35200
22,0.20160343,0.13323613,-6.8325233,-6.8325233,230,1.0,0.335,0.0,-0.0030351440630676805,-0.11435622727149024,-0.20323048099045243,-26.6,9200,nan,nan,920,0.0,0.0,0.0,-0.14014280115932215,-0.22750067288247755,-0.4958934681556449,-40.0,36800
23,0.20161992,0.1323319,-6.7801223,-6.7801223,240,1.0,0.35,0.0,-0.003387454707265746,-0.10561108026410353,-0.18285397965073252,-26.0,9600,nan,nan,960,0.1,0.0025,0.0,-0.1294218761790062,-0.1820007851087965,-0.27483092141808896,-39.9,38400
24,0.201805,0.131952,-8.432604,-8.432604,250,1.0,0.2225,0.0,-0.0038255506840890936,-0.12269988789239634,-0.1779844856012443,-31.1,10000,nan,nan,1000,0.3,0.025,0.0,-0.11071487473710033,-0.20598260032617052,-0.42567401593361137,-39.0,40000
25,0.20155656,0.13160962,-8.957913,-8.957913,260,1.0,0.2025,0.0,-0.004769130348313409,-0.11953829051877324,-0.1961392058041966,-31.9,10400,nan,nan,1040,0.3,0.025625,0.0,-0.09360641527756913,-0.18052358437628532,-0.27530878971652817,-38.975,41600
26,0.201343,0.13115084,-9.150927,-9.150927,270,1.0,0.225,0.0,-0.0043513249467378645,-0.16586320559350798,-0.4999450346218703,-31.0,10800,nan,nan,1080,0.0,0.0,0.0,-0.13908133635162154,-0.20285240863687898,-0.38022504682160424,-40.0,43200
27,0.20155858,0.13106605,-9.696817,-9.696817,280,1.0,0.2025,0.0,-0.004281957669650783,-0.12274803687576558,-0.19344541744501353,-31.9,11200,nan,nan,1120,0.1,0.00375,0.0,-0.11458153352195355,-0.2052615108882022,-0.46496810878747824,-39.85,44800
28,0.20169047,0.13062558,-10.096194,-10.096194,290,1.0,0.1775,0.0,-0.003393529042772685,-0.125040718327737,-0.1920674249061938,-32.9,11600,nan,nan,1160,0.2,0.011875,0.0,-0.10909673498697783,-0.20019073822963068,-0.34875423282060447,-39.525,46400
29,0.20137276,0.13036284,-7.541244,-7.541244,300,1.0,0.445,0.0,-0.007030280076199224,-0.09462760795715891,-0.18247013097194176,-22.2,12000,nan,nan,1200,0.3,0.023125,0.0,-0.10878292610720319,-0.18860223284401328,-0.3096300650046309,-39.075,48000
30,0.2014342,0.13011116,-9.141932,-9.141932,310,1.0,0.27,0.0,-0.001133787019022448,-0.11061383635180956,-0.18540361526536772,-29.2,12400,nan,nan,1240,0.1,0.000625,0.0,-0.14156905863333186,-0.22439682224916885,-0.4919707926563851,-39.975,49600
31,0.20147005,0.12920785,-9.048294,-9.048294,320,1.0,0.3175,0.0,-0.008945541700402085,-0.1189409301039285,-0.25535384172063713,-27.3,12800,nan,nan,1280,0.2,0.015625,0.0,-0.1003419564985435,-0.1868082521583922,-0.30905167043267306,-39.375,51200
32,0.201449,0.12913048,-8.801725,-8.801725,330,1.0,0.315,0.0,-0.005038040693464266,-0.1124511712671766,-0.18438609663633043,-27.4,13200,nan,nan,1320,0.3,0.01625,0.0,-0.08609927529135052,-0.1999159451576824,-0.43461511023707156,-39.35,52800
33,0.20143694,0.12889801,-9.617462,-9.617462,340,1.0,0.325,0.0,-0.006050765780588082,-0.13596640151203743,-0.572773036668259,-27.0,13600,nan,nan,1360,0.1,0.0075,0.0,-0.12823709726697058,-0.206631960725448,-0.38843676709549657,-39.7,54400
34,0.20138897,0.12835747,-9.176867,-9.176867,350,1.0,0.305,0.0,-0.004054058986384982,-0.10897002250603155,-0.1977534594364641,-27.8,14000,nan,nan,1400,0.1,0.014374999999999999,0.0,-0.1359050855580918,-0.2054509553171772,-0.39393706296701886,-39.425,56000
35,0.20140539,0.12820767,-11.071414,-11.071414,360,1.0,0.1925,0.0,-0.0016466815667250207,-0.13175849750921176,-0.18834427379630253,-32.3,14400,nan,nan,1440,0.2,0.009375,0.0,-0.10861032537801056,-0.20375514343058604,-0.4181656441391235,-39.625,57600
36,0.20134622,0.12799169,-8.088741,-8.088741,370,1.0,0.425,0.0,-0.0031930176488567364,-0.10019459919463176,-0.19670386300595302,-23.0,14800,nan,nan,1480,0.2,0.019375,0.0,-0.12729475101557902,-0.19651589940814268,-0.33372937664304325,-39.225,59200
37,0.20136786,0.1276933,-12.668072,-12.668072,380,1.0,0.115,0.0,-0.011708526734537683,-0.13806529017174596,-0.2108518607617241,-35.4,15200,nan,nan,1520,0.2,0.008125,0.0,-0.12606782030335614,-0.19055426410795523,-0.30798356952687467,-39.675,60800
38,0.20129605,0.12762247,-10.726499,-10.726499,390,1.0,0.2825,0.0,-0.0022351071143429306,-0.11595437437669875,-0.17949302055900254,-28.7,15600,nan,nan,1560,0.3,0.044375,0.0,-0.09273370571267693,-0.18104053318360552,-0.29680009664929063,-38.225,62400
39,0.20140786,0.12708996,-8.650581,-8.650581,400,1.0,0.41,0.0,-0.008056958069447537,-0.1060863412805382,-0.20199570958247623,-23.6,16000,nan,nan,1600,0.1,0.009375,0.0,-0.13142849563905704,-0.1779561962806478,-0.2558612812515642,-39.625,64000
40,0.20167829,0.12703261,-7.276987,-7.276987,410,1.0,0.4825,0.0,-0.00238206669584564,-0.09095577278807186,-0.19047667128647927,-20.7,16400,nan,nan,1640,0.4,0.016249999999999997,0.0,-0.09208327358816576,-0.2141827201930135,-0.5014016662396269,-39.35,65600
41,0.2014151,0.12715736,-12.844486,-12.844486,420,1.0,0.175,0.0,-0.005718212062361182,-0.15171830521398733,-0.40018357558504913,-33.0,16800,nan,nan,1680,0.1,0.001875,0.0,-0.14047040072329722,-0.20603488115721422,-0.37456419045676814,-39.925,67200
42,0.20141473,0.12710458,-7.153623,-7.153623,430,1.0,0.4775,0.0,-0.003998855373952711,-0.09443931071721366,-0.19151273428947735,-20.9,17200,nan,nan,1720,0.2,0.019375,0.0,-0.09985315986145513,-0.19621709200976567,-0.32704627436213723,-39.225,68800
43,0.2014637,0.12693882,-9.259312,-9.259312,440,1.0,0.38,0.0,-0.003621552913680262,-0.1062901016456996,-0.19016627280605597,-24.8,17600,nan,nan,1760,0.3,0.019375,0.0,-0.0839980137481242,-0.19844719225884583,-0.38516681850811607,-39.225,70400
44,0.2017143,0.12683102,-9.671482,-9.671482,450,1.0,0.39,0.0,-0.0037334248658169662,-0.10439694985065082,-0.1834899845693672,-24.4,18000,nan,nan,1800,0.2,0.01125,0.0,-0.12997734726396662,-0.21459882968923472,-0.4036635128106987,-39.55,72000
45,0.2017663,0.12663849,-9.826177,-9.826177,460,1.0,0.325,0.0,-0.004571002229833624,-0.11148612264212004,-0.22388635962539064,-27.0,18400,nan,nan,1840,0.2,0.02,0.0,-0.10157795185697616,-0.19102597161976947,-0.3545078748866301,-39.2,73600
46,0.20176382,0.12695867,-9.684317,-9.684317,470,1.0,0.3225,0.0,-0.002731314876096095,-0.11190972353228261,-0.18797458333778697,-27.1,18800,nan,nan,1880,0.2,0.0225,0.0,-0.09403162441043442,-0.20510374168826973,-0.4385825747396619,-39.1,75200
47,0.20200777,0.1273835,-7.814296,-7.814296,480,1.0,0.49,0.0,-0.002483780733697704,-0.08730045684075044,-0.17673392566324705,-20.4,19200,nan,nan,1920,0.6,0.04812500000000001,0.0,-0.08022246010396557,-0.20260511113703558,-0.4146373489079641,-38.075,76800
