mode,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
online,0,41.95008087158203,False,,,1,a605160b41384b5c96a8a80aa051a902,2020-09-09_22-47-21,1599706041,41.95008087158203,20849,antarctica,142.1.44.25,41.95008087158203,0,1,d8533_00000,0_seed=0
online,1,17.804521322250366,False,,,2,a605160b41384b5c96a8a80aa051a902,2020-09-09_22-47-39,1599706059,59.7546021938324,20849,antarctica,142.1.44.25,59.7546021938324,0,2,d8533_00000,0_seed=0
online,2,17.775912284851074,False,,,3,a605160b41384b5c96a8a80aa051a902,2020-09-09_22-47-57,1599706077,77.53051447868347,20849,antarctica,142.1.44.25,77.53051447868347,0,3,d8533_00000,0_seed=0
