mode,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
online,37,19.904472827911377,False,,,38,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-18-08,1600719488,782.5645577907562,6940,antarctica,142.1.44.25,782.5645577907562,0,38,bca27_00000,0_seed=0
online,38,19.752545833587646,False,,,39,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-18-28,1600719508,802.3171036243439,6940,antarctica,142.1.44.25,802.3171036243439,0,39,bca27_00000,0_seed=0
online,39,19.849201679229736,False,,,40,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-18-48,1600719528,822.1663053035736,6940,antarctica,142.1.44.25,822.1663053035736,0,40,bca27_00000,0_seed=0
online,40,19.740413904190063,False,,,41,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-19-08,1600719548,841.9067192077637,6940,antarctica,142.1.44.25,841.9067192077637,0,41,bca27_00000,0_seed=0
online,41,19.70482611656189,False,,,42,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-19-27,1600719567,861.6115453243256,6940,antarctica,142.1.44.25,861.6115453243256,0,42,bca27_00000,0_seed=0
online,42,22.053107976913452,False,,,43,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-19-50,1600719590,883.664653301239,6940,antarctica,142.1.44.25,883.664653301239,0,43,bca27_00000,0_seed=0
online,43,19.765863180160522,False,,,44,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-20-09,1600719609,903.4305164813995,6940,antarctica,142.1.44.25,903.4305164813995,0,44,bca27_00000,0_seed=0
online,44,19.825636863708496,False,,,45,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-20-29,1600719629,923.256153345108,6940,antarctica,142.1.44.25,923.256153345108,0,45,bca27_00000,0_seed=0
online,45,19.916876077651978,False,,,46,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-20-49,1600719649,943.17302942276,6940,antarctica,142.1.44.25,943.17302942276,0,46,bca27_00000,0_seed=0
online,46,19.8351047039032,False,,,47,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-21-09,1600719669,963.0081341266632,6940,antarctica,142.1.44.25,963.0081341266632,0,47,bca27_00000,0_seed=0
online,47,19.810728788375854,False,,,48,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-21-29,1600719689,982.8188629150391,6940,antarctica,142.1.44.25,982.8188629150391,0,48,bca27_00000,0_seed=0
online,48,20.009258270263672,False,,,49,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-21-49,1600719709,1002.8281211853027,6940,antarctica,142.1.44.25,1002.8281211853027,0,49,bca27_00000,0_seed=0
online,49,19.885238647460938,False,,,50,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-22-09,1600719729,1022.7133598327637,6940,antarctica,142.1.44.25,1022.7133598327637,0,50,bca27_00000,0_seed=0
online,50,19.926897048950195,False,,,51,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-22-28,1600719748,1042.6402568817139,6940,antarctica,142.1.44.25,1042.6402568817139,0,51,bca27_00000,0_seed=0
online,51,19.917105436325073,False,,,52,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-22-48,1600719768,1062.557362318039,6940,antarctica,142.1.44.25,1062.557362318039,0,52,bca27_00000,0_seed=0
online,52,19.783052444458008,False,,,53,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-23-08,1600719788,1082.340414762497,6940,antarctica,142.1.44.25,1082.340414762497,0,53,bca27_00000,0_seed=0
online,53,22.813560247421265,False,,,54,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-23-31,1600719811,1105.1539750099182,6940,antarctica,142.1.44.25,1105.1539750099182,0,54,bca27_00000,0_seed=0
online,54,20.02200984954834,False,,,55,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-23-51,1600719831,1125.1759848594666,6940,antarctica,142.1.44.25,1125.1759848594666,0,55,bca27_00000,0_seed=0
online,55,19.710935831069946,False,,,56,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-24-11,1600719851,1144.8869206905365,6940,antarctica,142.1.44.25,1144.8869206905365,0,56,bca27_00000,0_seed=0
online,56,19.992722511291504,False,,,57,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-24-31,1600719871,1164.879643201828,6940,antarctica,142.1.44.25,1164.879643201828,0,57,bca27_00000,0_seed=0
online,57,19.883177280426025,False,,,58,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-24-51,1600719891,1184.762820482254,6940,antarctica,142.1.44.25,1184.762820482254,0,58,bca27_00000,0_seed=0
online,58,19.981997966766357,False,,,59,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-25-11,1600719911,1204.7448184490204,6940,antarctica,142.1.44.25,1204.7448184490204,0,59,bca27_00000,0_seed=0
online,59,19.93937873840332,False,,,60,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-25-31,1600719931,1224.6841971874237,6940,antarctica,142.1.44.25,1224.6841971874237,0,60,bca27_00000,0_seed=0
online,60,20.13810443878174,False,,,61,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-25-51,1600719951,1244.8223016262054,6940,antarctica,142.1.44.25,1244.8223016262054,0,61,bca27_00000,0_seed=0
online,61,20.014927864074707,False,,,62,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-26-11,1600719971,1264.8372294902802,6940,antarctica,142.1.44.25,1264.8372294902802,0,62,bca27_00000,0_seed=0
online,62,19.968230485916138,False,,,63,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-26-31,1600719991,1284.8054599761963,6940,antarctica,142.1.44.25,1284.8054599761963,0,63,bca27_00000,0_seed=0
