loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[158.04651],0,,,,,,,,,,
[25.826914],100,,,,,,,,,,
[17.897734],200,,,,,,,,,,
[17.744488],300,,,,,,,,,,
[16.15552],400,,,,,,,,,,
[14.669752],500,,,,,,,,,,
[10.270376],600,,,,,,,,,,
[13.483137],700,,,,,,,,,,
[8.9954405],800,,,,,,,,,,
[8.217119],900,,,,,,,,,,
[10.530596],1000,,,,,,,,,,
[10.554457],1100,,,,,,,,,,
[6.4271793],1200,,,,,,,,,,
[6.98433],1300,,,,,,,,,,
[8.518332],1400,,,,,,,,,,
[6.896497],1500,,,,,,,,,,
[7.8760266],1600,,,,,,,,,,
[7.2642207],1700,,,,,,,,,,
[7.794849],1800,,,,,,,,,,
[9.755046],1900,,,,,,,,,,
,,54,0.8762224,0.1067273,0.2038713,0.065384015,1100.0,-42.537178,0.05,11004.0,0.045
,,55,0.87624675,0.106714524,0.20388064,0.06519205,1120.0,-38.820816,0.1,11204.0,0.025
,,56,0.87624985,0.10672005,0.20389505,0.06506199,1140.0,-41.391006,0.05,11404.0,0.035
,,57,0.876235,0.10665678,0.20387077,0.06495517,1160.0,-40.883587,0.05,11604.0,0.045
,,58,0.87625074,0.10669104,0.2038647,0.06472755,1180.0,-43.731087,0.05,11804.0,0.055
,,59,0.8762893,0.106660366,0.20387425,0.06450952,1200.0,-44.84696,0.0,12004.0,0.03
,,60,0.876317,0.10670226,0.20389926,0.064387105,1220.0,-42.213486,0.05,12204.0,0.025
,,61,0.8762689,0.10667797,0.20388597,0.06428075,1240.0,-35.387142,0.15,12404.0,0.04
,,62,0.87616295,0.1066454,0.20389402,0.06420939,1260.0,-41.22531,0.05,12604.0,0.025
,,63,0.87620354,0.1066643,0.20388849,0.06415492,1280.0,-43.860443,0.0,12804.0,0.035
,,64,0.87633294,0.10668778,0.2038805,0.06416887,1300.0,-42.851337,0.0,13004.0,0.05
,,65,0.8762534,0.10659921,0.20388979,0.064086795,1320.0,-41.49524,0.1,13204.0,0.04
,,66,0.87632304,0.10662413,0.20389068,0.06403689,1340.0,-42.05307,0.05,13404.0,0.015
,,67,0.8762922,0.10656949,0.20389925,0.06393693,1360.0,-41.68656,0.05,13604.0,0.035
,,68,0.87631494,0.10657627,0.20393643,0.0639869,1380.0,-43.536404,0.0,13804.0,0.03
,,69,0.87639326,0.10658536,0.20393462,0.06390872,1400.0,-42.81286,0.05,14004.0,0.035
,,70,0.8763358,0.10656976,0.20392239,0.063834526,1420.0,-39.868866,0.05,14204.0,0.025
,,71,0.876369,0.10652661,0.2039231,0.063755065,1440.0,-38.9325,0.05,14404.0,0.055
,,72,0.87643605,0.10656083,0.2039224,0.063685976,1460.0,-43.339077,0.0,14604.0,0.02
,,73,0.8763914,0.10652473,0.20391956,0.063735254,1480.0,-45.105347,0.05,14804.0,0.04
,,74,0.8763165,0.10653559,0.20391643,0.06366454,1500.0,-44.212944,0.0,15004.0,0.055
,,75,0.87628144,0.1065015,0.20391206,0.06358693,1520.0,-45.85318,0.0,15204.0,0.025
,,76,0.876321,0.1065194,0.20390673,0.063459896,1540.0,-46.832897,0.0,15404.0,0.03
,,77,0.8763283,0.10650941,0.20389688,0.06336176,1560.0,-45.282204,0.0,15604.0,0.03
,,78,0.87632436,0.10647237,0.20389466,0.063278124,1580.0,-46.042755,0.0,15804.0,0.03
,,79,0.8764179,0.10654227,0.20391002,0.06321081,1600.0,-43.173462,0.05,16004.0,0.025
,,80,0.87640905,0.10651902,0.20393196,0.06307901,1620.0,-43.36751,0.05,16204.0,0.015
,,81,0.8763683,0.10649232,0.20393537,0.063008964,1640.0,-42.893166,0.05,16404.0,0.06
,,82,0.8763948,0.106512226,0.20394202,0.06296232,1660.0,-47.350735,0.0,16604.0,0.045
,,83,0.87638205,0.10647482,0.20394965,0.06286753,1680.0,-44.021946,0.0,16804.0,0.06
,,84,0.8763624,0.106475234,0.20395264,0.062778465,1700.0,-39.77681,0.1,17004.0,0.02
