epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.43316078,0.06313241,-1.3197906,-1.3197906,10,0.0,0.0,0.0,-0.15457626857355292,-0.36406194559989963,-0.8459835133840506,-40.0,400,nan,nan,40,0.0,0.0,0.0,-0.1275130280480647,-0.3134965547290379,-0.6180788086397762,-40.0,1600
1,0.42146054,0.064019196,-1.5861211,-1.5861211,20,0.0,0.0,0.0,-0.1600290386406529,-0.3588235817266757,-0.6324127622249572,-40.0,800,nan,nan,80,0.0,0.0,0.0,-0.17601024555487113,-0.330475614614281,-0.5714843446144863,-40.0,3200
2,0.41161144,0.064881384,-1.9272394,-1.9272394,30,0.0,0.0,0.0,-0.1550444675575026,-0.3715953851994091,-0.6685013297414278,-40.0,1200,nan,nan,120,0.0,0.0,0.0,-0.16846352077891008,-0.3470148034691778,-0.6390453303150165,-40.0,4800
3,0.40906814,0.06388267,-2.3444846,-2.3444846,40,0.0,0.0,0.0,-0.054923461175317656,-0.2899090339240791,-0.6294284227648101,-40.0,1600,nan,nan,160,0.0,0.0,0.0,-0.16216872874731733,-0.2951785446735609,-0.45974464232034257,-40.0,6400
4,0.40932825,0.06433447,-2.6496584,-2.6496584,50,0.0,0.0,0.0,-0.06487424802477208,-0.163525924280303,-0.31518008200151304,-40.0,2000,nan,nan,200,0.1,0.005,0.0,-0.07478091420636537,-0.23478533996377088,-0.45097137606509197,-39.8,8000
5,0.4114269,0.06357648,-3.0539422,-3.0539422,60,0.0,0.0,0.0,-0.06779231991154518,-0.16301773259638583,-0.3170153369295277,-40.0,2400,nan,nan,240,0.0,0.0,0.0,-0.06543292934542844,-0.19771476544821215,-0.373362692668579,-40.0,9600
6,0.4131787,0.06298024,-3.449303,-3.449303,70,0.0,0.0,0.0,-0.06850651081184085,-0.1582841413261362,-0.3084620968582086,-40.0,2800,nan,nan,280,0.0,0.0,0.0,-0.07346643073355552,-0.19765653589729895,-0.38253277559600923,-40.0,11200
7,0.41436064,0.062149156,-3.868637,-3.868637,80,0.0,0.0,0.0,-0.06730063639793489,-0.116405320819084,-0.2522433702040826,-40.0,3200,nan,nan,320,0.1,0.000625,0.0,-0.0644080313874242,-0.17666234279915502,-0.3857900569941174,-39.975,12800
8,0.41614482,0.06108741,-4.1646104,-4.1646104,90,1.0,0.0575,0.0,-0.022508944861294632,-0.12131284434506551,-0.2859811882966694,-37.7,3600,nan,nan,360,0.1,0.001875,0.0,-0.06079874501190206,-0.15644827923867852,-0.30772592900013224,-39.925,14400
9,0.41682994,0.05982609,-4.564848,-4.564848,100,0.0,0.0,0.0,-0.07113743851782132,-0.1447278471930153,-0.31581937101840957,-40.0,4000,nan,nan,400,0.1,0.00625,0.0,-0.05851283596105835,-0.1448209374908762,-0.28960027443502334,-39.75,16000
10,0.4179943,0.058862302,-4.730683,-4.730683,110,1.0,0.11,0.0,-0.025971836848545055,-0.09269612651678631,-0.25903983835843813,-35.6,4400,nan,nan,440,0.0,0.0,0.0,-0.059675594500798214,-0.1439991232870743,-0.29536380398794904,-40.0,17600
11,0.41993567,0.058166277,-5.4374905,-5.4374905,120,0.0,0.0,0.0,-0.0681886730801684,-0.08853838013291995,-0.2497837006885923,-40.0,4800,nan,nan,480,0.1,0.015625,0.0,-0.05591912238445225,-0.11842781933000257,-0.253677642970654,-39.375,19200
12,0.42151764,0.057430636,-5.5809617,-5.5809617,130,1.0,0.0675,0.0,-0.03106977745477312,-0.08699751195633247,-0.23816702286204972,-37.3,5200,nan,nan,520,0.1,0.00375,0.0,-0.058650307775835284,-0.13442307783579788,-0.27360648277584243,-39.85,20800
13,0.42286715,0.056606755,-6.219409,-6.219409,140,0.0,0.0,0.0,-0.06325610908669206,-0.08764034408505665,-0.24272573980588516,-40.0,5600,nan,nan,560,0.0,0.0,0.0,-0.06312337209782323,-0.12121936835350258,-0.2620192372869838,-40.0,22400
14,0.42430794,0.055903584,-6.519695,-6.519695,150,0.0,0.0,0.0,-0.06975527565119959,-0.08667285046817032,-0.2557008101089791,-40.0,6000,nan,nan,600,0.1,0.001875,0.0,-0.05968534483648208,-0.12448040005706473,-0.2515599221122153,-39.925,24000
