loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[12.156074, 12.096552, 12.3505535, 12.273668],0,,,,,,,,,,
[0.13617527, 0.14794031, 0.16944313, 0.1440981],100,,,,,,,,,,
[0.04895778, 0.05064665, 0.056200303, 0.053549327],200,,,,,,,,,,
[0.022595078, 0.023436284, 0.016783632, 0.019901661],300,,,,,,,,,,
[0.014607551, 0.013690065, 0.013657708, 0.012791746],400,,,,,,,,,,
[0.011511642, 0.009021357, 0.009398803, 0.008807363],500,,,,,,,,,,
[0.008295942, 0.009426607, 0.008997863, 0.007854953],600,,,,,,,,,,
[0.008047193, 0.012023852, 0.008300643, 0.011724966],700,,,,,,,,,,
[0.004213664, 0.0033416608, 0.0041895565, 0.0042599672],800,,,,,,,,,,
[0.0060325842, 0.0071639665, 0.009601922, 0.0062240325],900,,,,,,,,,,
[0.004926083, 0.005461395, 0.0056405193, 0.0042065233],1000,,,,,,,,,,
[0.002994064, 0.004539033, 0.0031346723, 0.002426848],1100,,,,,,,,,,
[0.0034593, 0.0062107956, 0.0055070026, 0.0050702784],1200,,,,,,,,,,
[0.0025705541, 0.0037921942, 0.0031004257, 0.004260311],1300,,,,,,,,,,
[0.0023147753, 0.0036600553, 0.002660612, 0.0026703356],1400,,,,,,,,,,
[0.0021612332, 0.0026737442, 0.0063705626, 0.0050569316],1500,,,,,,,,,,
[0.002399432, 0.0017848578, 0.002355665, 0.0031379962],1600,,,,,,,,,,
[0.0021137996, 0.0022435342, 0.0019921493, 0.0022075172],1700,,,,,,,,,,
[0.0033046287, 0.0049021766, 0.004056403, 0.0041463785],1800,,,,,,,,,,
[0.0016035775, 0.0036295513, 0.0064328746, 0.002454178],1900,,,,,,,,,,
,,0,0.0,1.0,0.0,1.0,20.0,-2.7084837,0.15,44.0,0.0
,,1,0.0,1.0,0.0,1.0,40.0,-2.0693977,0.25,84.0,0.075
,,2,0.0,1.0,0.0,1.0,60.0,-2.4748218,0.25,124.0,0.15
,,3,0.0,1.0,0.0,1.0,80.0,-2.16982,0.6,164.0,0.3
,,4,0.0,1.0,0.0,1.0,100.0,-2.794204,0.6,204.0,0.225
,,5,0.0,1.0,0.0,1.0,120.0,-2.4312243,0.75,244.0,0.2
,,6,0.0,1.0,0.0,1.0,140.0,-2.445331,0.7,284.0,0.225
,,7,0.0,1.0,0.0,1.0,160.0,-2.2770095,0.4,324.0,0.375
,,8,0.0,1.0,0.0,1.0,180.0,-2.7278123,0.75,364.0,0.325
,,9,0.0,1.0,0.0,1.0,200.0,-2.4560053,0.55,404.0,0.35
,,10,0.0,1.0,0.0,1.0,220.0,-2.4985096,0.5,444.0,0.225
,,11,0.0,1.0,0.0,1.0,240.0,-2.9871445,0.7,484.0,0.175
,,12,0.0,1.0,0.0,1.0,260.0,-2.6868646,0.8,524.0,0.325
,,13,0.0,1.0,0.0,1.0,280.0,-2.417083,1.0,564.0,0.15
,,14,0.0,1.0,0.0,1.0,300.0,-2.4127865,0.7,604.0,0.2
,,15,0.0,1.0,0.0,1.0,320.0,-2.5455775,0.75,644.0,0.35
,,16,0.0,1.0,0.0,1.0,340.0,-2.566471,1.0,684.0,0.225
,,17,0.0,1.0,0.0,1.0,360.0,-2.9695947,0.8,724.0,0.3
,,18,0.0,1.0,0.0,1.0,380.0,-2.4495966,0.7,764.0,0.15
,,19,0.0,1.0,0.0,1.0,400.0,-2.6555386,1.0,804.0,0.275
,,20,0.0,1.0,0.0,1.0,420.0,-2.175549,1.0,844.0,0.35
,,21,0.0,1.0,0.0,1.0,440.0,-2.333094,1.0,884.0,0.2
,,22,0.0,1.0,0.0,1.0,460.0,-1.8099889,1.0,924.0,0.4
,,23,0.0,1.0,0.0,1.0,480.0,-2.8810651,0.9,964.0,0.425
,,24,0.0,1.0,0.0,1.0,500.0,-2.3114595,1.0,1004.0,0.275
,,25,0.0,1.0,0.0,1.0,520.0,-2.2636237,0.95,1044.0,0.3
,,26,0.0,1.0,0.0,1.0,540.0,-2.5999742,0.95,1084.0,0.35
,,27,0.0,1.0,0.0,1.0,560.0,-2.5746589,0.95,1124.0,0.375
,,28,0.0,1.0,0.0,1.0,580.0,-2.8244042,0.95,1164.0,0.325
,,29,0.0,1.0,0.0,1.0,600.0,-2.7570088,1.0,1204.0,0.225
