epoch,loss
0,37.754307
1,31.618872
2,26.874603
3,24.405457
4,22.659174
5,21.551453
6,19.548502
7,18.253647
8,16.8716
9,15.291557
10,13.983821
11,13.417901
12,12.668983
13,12.1671095
14,11.482362
15,10.876282
16,10.524867
17,10.145406
18,9.729336
19,9.49366
20,9.062896
21,9.019385
22,8.464288
23,8.293025
24,8.540753
25,8.202712
26,7.91378
27,7.868568
28,7.6625876
29,7.410128
30,7.102629
31,7.3638268
32,6.9303164
33,6.7909837
34,6.7662034
35,6.6895347
36,6.5238233
37,6.69721
38,6.7096734
39,6.592785
40,6.572662
41,6.1943507
42,6.1508393
43,6.139971
44,6.037256
45,6.1249504
46,5.962827
47,6.0869737
48,5.996798
49,5.8620033
50,5.9330673
51,5.9284477
52,5.6318226
53,5.689615
54,5.6286054
55,5.6892285
56,5.6702313
57,5.622883
58,5.6484075
59,5.5479836
60,5.5782075
61,5.454396
62,5.3486123
63,5.3810763
64,5.3265133
65,5.296163
66,5.2593455
67,5.2391768
68,5.0809712
69,5.0912757
70,5.0653634
71,4.9655666
72,5.4381847
73,5.2271514
74,5.1271973
75,5.0183144
76,4.94051
77,5.096205
78,4.948797
79,4.916412
80,4.9267335
81,4.822392
82,4.8558574
83,4.8288035
84,4.77502
85,4.824822
86,4.9209
87,5.013519
88,4.6074867
89,4.602164
90,4.683368
91,4.6488514
92,4.597812
93,4.701317
94,4.50001
95,4.686562
96,4.6450334
97,4.4632416
98,4.5443745
99,4.5306334
