mode,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
online,0,42.098658323287964,False,,,1,6939ed3184c64de68351e117e01316d9,2020-09-09_22-47-21,1599706041,42.098658323287964,20846,antarctica,142.1.44.25,42.098658323287964,0,1,d8533_00001,1_seed=1
online,1,17.745611906051636,False,,,2,6939ed3184c64de68351e117e01316d9,2020-09-09_22-47-39,1599706059,59.8442702293396,20846,antarctica,142.1.44.25,59.8442702293396,0,2,d8533_00001,1_seed=1
online,2,17.74285888671875,False,,,3,6939ed3184c64de68351e117e01316d9,2020-09-09_22-47-57,1599706077,77.58712911605835,20846,antarctica,142.1.44.25,77.58712911605835,0,3,d8533_00001,1_seed=1
