epoch,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,test/total_reward,train/episode,train/success_rate,train/total_reward
51,0.1697781,0.40714785,260.0,4.385376,0.0,292.95305552664433,4160.0,0.0,69.90578302341217
52,0.17019449,0.407111,265.0,4.2825003,0.0,281.2811334374336,4240.0,0.0,70.83361368561097
53,0.17059614,0.40730193,270.0,4.005747,0.0,261.3053970490304,4320.0,0.0,71.48981664057206
54,0.17088772,0.40760022,275.0,6.0320206,0.0,315.07563619675807,4400.0,0.0,66.55861800228297
55,0.17126283,0.40790927,280.0,5.8884716,0.0,319.92983301741526,4480.0,0.0,62.99007530850094
56,0.17157717,0.4082082,285.0,7.10838,0.0,348.9368083770846,4560.0,0.0,59.32684939436673
57,0.17186223,0.40861142,290.0,6.5931215,0.0,337.9117938929263,4640.0,0.0,56.895262301179564
58,0.17215203,0.40886357,295.0,6.0862722,0.0,317.55661178696647,4720.0,0.0,61.32314397111749
59,0.17233159,0.4092142,300.0,7.4732537,0.0,350.08657367332864,4800.0,0.0,58.834156502871195
60,0.1726415,0.4094198,305.0,7.4823933,0.0,331.7769868853647,4880.0,0.0,67.75963654035408
61,0.17288084,0.40974778,310.0,9.090828,0.0,322.6081103580567,4960.0,0.0,69.33174563722997
62,0.17311913,0.41025037,315.0,8.747566,0.0,277.96249649003784,5040.0,0.0,65.20984718502936
63,0.17329255,0.41073596,320.0,8.29229,0.0,301.3385159496337,5120.0,0.0,62.57335221410953
64,0.17346993,0.4112167,325.0,8.8797655,0.0,344.44623226297864,5200.0,0.0,69.04699619280032
65,0.17363821,0.41159496,330.0,5.0460634,0.0,277.3162554922547,5280.0,0.0,70.47787173278554
66,0.17379093,0.41231588,335.0,8.180233,0.0,318.6867130256043,5360.0,0.0,59.89491167051189
67,0.17406611,0.41305864,340.0,9.6618,0.0,412.05613094196417,5440.0,0.0,56.91731042575468
68,0.17423728,0.41369048,345.0,10.745752,0.0,313.1165484222475,5520.0,0.0,55.059055552352305
69,0.17428194,0.4142787,350.0,4.233162,0.0,133.9539246933386,5600.0,0.00625,64.65178260195816
70,0.1744245,0.41538125,355.0,4.503796,0.0,176.03249419699176,5680.0,0.00625,52.803620989997576
71,0.17461826,0.4164909,360.0,10.5289,0.0,284.4777168599917,5760.0,0.0,42.09269771926944
72,0.17464939,0.41740733,365.0,11.482513,0.0,281.53960086948314,5840.0,0.0,45.596250131252916
73,0.17466594,0.41882476,370.0,12.677134,0.0,270.8684200988975,5920.0,0.0,34.751171919081436
74,0.17469414,0.4197649,375.0,9.481612,0.0,145.68935837117846,6000.0,0.003125,37.642557276726315
75,0.17481703,0.4209714,380.0,10.5428705,0.0,235.32874409456863,6080.0,0.0,29.214080409951848
76,0.17493027,0.42232448,385.0,11.120237,0.0,258.98370162448447,6160.0,0.0,27.681855478476386
77,0.17497991,0.42365018,390.0,8.443578,0.0,181.3055884455354,6240.0,0.0,27.6688379992086
78,0.17501009,0.42485064,395.0,4.218001,0.0,63.73456132859046,6320.0,0.0,22.64362251184598
79,0.17510177,0.42625082,400.0,6.741037,0.0,141.77054605859968,6400.0,0.0,23.919376073825124
80,0.1750794,0.42774427,405.0,9.359838,0.0,194.91233406026583,6480.0,0.0,18.80815345359209
81,0.17500421,0.42911512,410.0,4.4123545,0.0,65.79561169874265,6560.0,0.0,15.530973659938132
82,0.1750068,0.4305727,415.0,6.1411724,0.0,112.77867772860127,6640.0,0.0,14.224258457909288
83,0.17487796,0.43208435,420.0,0.468291,0.0,5.264078520238492,6720.0,0.0,13.779618978046015
84,0.17471367,0.43390462,425.0,5.5496716,0.0,71.5160941533147,6800.0,0.0,9.893809938010287
85,0.17454962,0.43552816,430.0,1.1628504,0.0,9.833147533174795,6880.0,0.0,10.504552282257523
86,0.17459379,0.4370058,435.0,4.2332797,0.0,65.69157822098096,6960.0,0.0,9.864575418784934
87,0.17455803,0.43840712,440.0,1.8909162,0.0,25.70571874790297,7040.0,0.0,10.592303702809806
88,0.17447188,0.43989685,445.0,1.2069597,0.0,9.297942086146683,7120.0,0.0,10.44735528118186
89,0.17435858,0.4414981,450.0,2.4970198,0.0,45.97717731637495,7200.0,0.0,11.606936478000327
90,0.17414428,0.44287348,455.0,2.8474674,0.0,42.11769725657521,7280.0,0.0,11.725434752405814
91,0.174026,0.44424847,460.0,2.0922632,0.0,22.35655892278718,7360.0,0.0,11.231268589371368
92,0.17397065,0.445814,465.0,0.91463596,0.0,5.170929937524841,7440.0,0.0,10.447785879522199
93,0.17390035,0.447125,470.0,1.771911,0.0,13.43449345525462,7520.0,0.0,13.36787232520351
94,0.17372791,0.44840318,475.0,15.273505,0.0,193.15068298560567,7600.0,0.0,16.071412049543003
95,0.17356136,0.44949973,480.0,8.810972,0.0,84.1916612154194,7680.0,0.0,14.918731917277302
96,0.17333421,0.4504793,485.0,9.630882,0.0,111.92810176745704,7760.0,0.0,17.325695686842955
97,0.17318468,0.45132932,490.0,4.3526287,0.0,31.757842247602078,7840.0,0.0,12.691026554440054
98,0.17291173,0.452139,495.0,5.6266418,0.0,45.17492389789423,7920.0,0.0,17.296759270683765
99,0.1727332,0.45294818,500.0,14.6377735,0.0,123.4421482629007,8000.0,0.0,14.173692301229366
100,0.17254514,0.45365018,505.0,23.801813,0.0,167.15536620014964,8080.0,0.0,19.57081081412199
101,0.17229353,0.45449927,510.0,10.346521,0.0,57.38482360101485,8160.0,0.0,19.63511771458589
102,0.1721368,0.45525733,515.0,14.450262,0.0,103.20967922460127,8240.0,0.0,19.355881939470336
103,0.17206205,0.45584103,520.0,5.1333795,0.0,65.53720810589589,8320.0,0.0,19.139036816747385
104,0.17197654,0.4564336,525.0,14.3228,0.0,81.90240550728134,8400.0,0.0,11.86359419971032
105,0.17179257,0.4569251,530.0,4.20128,0.0,15.703597241616805,8480.0,0.0,15.82607619623902
106,0.17156436,0.45741138,535.0,8.304797,0.0,47.04262934302038,8560.0,0.0,12.618430958655882
107,0.17144431,0.4577843,540.0,8.116364,0.0,41.71720805847783,8640.0,0.0,15.160616784978469
108,0.17139421,0.45809647,545.0,12.177139,0.0,49.40073891956226,8720.0,0.0,14.236476931429788
109,0.17137398,0.45851824,550.0,16.083368,0.0,82.88708593795573,8800.0,0.0,11.538363543973698
110,0.17137484,0.45887375,555.0,18.538094,0.0,94.08545611252897,8880.0,0.0,14.246983826039118
111,0.17140917,0.4591788,560.0,15.019247,0.0,85.84254856817009,8960.0,0.0,17.898903790944118
112,0.1714101,0.4593958,565.0,52.500984,0.0,263.29697993195344,9040.0,0.0,25.61054990585239
113,0.17138389,0.45971835,570.0,25.272833,0.0,128.77905852782732,9120.0,0.0,32.16459528217767
114,0.17127639,0.45993292,575.0,25.73954,0.0,135.6949686801241,9200.0,0.0,33.042040267570904
115,0.17119433,0.4601867,580.0,70.67479,0.0,335.59600132273994,9280.0,0.0,29.35229771167478
116,0.17111172,0.46041754,585.0,19.577541,0.0,74.75170212923257,9360.0,0.0,25.186697156779534
117,0.17103636,0.46066254,590.0,61.576073,0.0,293.9862484183506,9440.0,0.0,30.87211721723434
