epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
21,0.20005916,0.10542392,-7.626534,-7.626534,220,1.0,0.215,0.0,-0.005277859694737554,-0.13190898735604617,-0.20942287571288737,-31.4,8800,nan,nan,880,0.3,0.030000000000000006,0.0,-0.09645147698018419,-0.17370454277464598,-0.25008997900321434,-38.8,35200
22,0.19983266,0.10734388,-7.036656,-7.036656,230,1.0,0.2425,0.0,-0.010700709967863799,-0.11538020769487871,-0.17820934789093107,-30.3,9200,nan,nan,920,0.2,0.01,0.0,-0.10144679747399872,-0.2183925456311838,-0.4677191508358704,-39.6,36800
23,0.19996375,0.10676455,-8.705776,-8.705776,240,1.0,0.1675,0.0,-0.00965783045472471,-0.14888710612169173,-0.4973762149544251,-33.3,9600,nan,nan,960,0.3,0.0075000000000000015,0.0,-0.10994393372934286,-0.18226229086870419,-0.3029792212633414,-39.7,38400
24,0.1998316,0.10746105,-7.0443115,-7.0443115,250,1.0,0.3575,0.0,-0.007485697537085019,-0.10019268530307265,-0.19043638506233196,-25.7,10000,nan,nan,1000,0.3,0.0125,0.0,-0.10918414486360342,-0.1853675170465549,-0.28391523249587947,-39.5,40000
25,0.19997863,0.10816721,-8.708119,-8.708119,260,1.0,0.145,0.0,-0.0024653243805388514,-0.13888164554832394,-0.23560556364556495,-34.2,10400,nan,nan,1040,0.1,0.013750000000000002,0.0,-0.13544959223198813,-0.1930366275245967,-0.3233533754759942,-39.45,41600
26,0.19991308,0.10785341,-7.899149,-7.899149,270,1.0,0.32,0.0,-0.007728623280804333,-0.11471302869445697,-0.2542209643422006,-27.2,10800,nan,nan,1080,0.3,0.02375,0.0,-0.10298176318283132,-0.1752080202818518,-0.24242806096220368,-39.05,43200
27,0.20000237,0.10793748,-8.8683195,-8.8683195,280,1.0,0.165,0.0,-0.007633816334198573,-0.12634368147426828,-0.18502946345479857,-33.4,11200,nan,nan,1120,0.1,0.005625,0.0,-0.10910506018930263,-0.19130074266180225,-0.3044248983149098,-39.775,44800
28,0.20014377,0.10789046,-7.4934254,-7.4934254,290,1.0,0.3525,0.0,-0.008730381577789782,-0.10303975594737397,-0.1792572506676399,-25.9,11600,nan,nan,1160,0.1,0.021249999999999998,0.0,-0.11486362908963428,-0.19195664953740735,-0.34881784707840524,-39.15,46400
29,0.20010178,0.10826193,-7.7287445,-7.7287445,300,1.0,0.3475,0.0,-0.020567259583221465,-0.10973503405478098,-0.21410492463929634,-26.1,12000,nan,nan,1200,0.3,0.031875,0.0,-0.09589429884110523,-0.18687467056034057,-0.31256215535661835,-38.725,48000
30,0.20035735,0.10898138,-8.029058,-8.029058,310,1.0,0.2725,0.0,-0.006319696099188581,-0.10806281795314522,-0.19238720105744567,-29.1,12400,nan,nan,1240,0.1,0.008125,0.0,-0.10520926736674538,-0.2041087839603327,-0.42989326862279853,-39.675,49600
31,0.2003609,0.10915413,-8.188759,-8.188759,320,1.0,0.3325,0.0,-0.012306240657450339,-0.11461424459456061,-0.1768836793487157,-26.7,12800,nan,nan,1280,0.3,0.028125,0.0,-0.11564096335019394,-0.2129804732772358,-0.44793896099073666,-38.875,51200
32,0.2005157,0.10991154,-4.874485,-4.874485,330,1.0,0.6,0.0,-0.006212806628458795,-0.07897499938135771,-0.17844583644333203,-16.0,13200,nan,nan,1320,0.4,0.021249999999999998,0.0,-0.08603331540915116,-0.1895348442892707,-0.356873864820594,-39.15,52800
33,0.20059103,0.11052975,-7.0253572,-7.0253572,340,1.0,0.405,0.0,-0.0020029303369766514,-0.09842751876798347,-0.1981574160649988,-23.8,13600,nan,nan,1360,0.2,0.0325,0.0,-0.1118046722516369,-0.19818554375014744,-0.3900938995800971,-38.7,54400
34,0.20085695,0.11025983,-8.166202,-8.166202,350,1.0,0.3475,0.0,-0.00404809849526373,-0.10000609538160112,-0.19146898316110614,-26.1,14000,nan,nan,1400,0.3,0.0125,0.0,-0.09663218038110047,-0.19475155779918427,-0.3692345728873598,-39.5,56000
35,0.20071003,0.11087368,-9.847932,-9.847932,360,1.0,0.305,0.0,-0.005257113829662696,-0.1256485093786209,-0.6010726367445891,-27.8,14400,nan,nan,1440,0.3,0.011875,0.0,-0.09832729295817356,-0.20348012301752974,-0.4011600607803264,-39.525,57600
