mode,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
online,0,41.82129454612732,False,,,1,98ff0e2008074fbca18c19716a817ee9,2020-09-09_22-47-21,1599706041,41.82129454612732,20847,antarctica,142.1.44.25,41.82129454612732,0,1,d8533_00002,2_seed=2
online,1,17.845381498336792,False,,,2,98ff0e2008074fbca18c19716a817ee9,2020-09-09_22-47-39,1599706059,59.66667604446411,20847,antarctica,142.1.44.25,59.66667604446411,0,2,d8533_00002,2_seed=2
online,2,17.915725469589233,False,,,3,98ff0e2008074fbca18c19716a817ee9,2020-09-09_22-47-57,1599706077,77.58240151405334,20847,antarctica,142.1.44.25,77.58240151405334,0,3,d8533_00002,2_seed=2
