epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.44668785,0.045382593,-1.0295404,-1.0295404,10,1.0,0.24,0.0,-0.0023776555298443275,-0.07976161319560672,-0.25316053066950245,-30.4,400,nan,nan,40,0.1,0.015,0.0,-0.06697695328531882,-0.15741362160072958,-0.3147769637014948,-39.4,1600
1,0.44734895,0.041957065,-1.4017122,-1.4017122,20,1.0,0.11,0.0,-0.001181149789476895,-0.08814132367274055,-0.2496883699026164,-35.6,800,nan,nan,80,0.3,0.020625,0.0,-0.04653906152955421,-0.12187501890651369,-0.25617842470211893,-39.175,3200
2,0.44720605,0.0405188,-1.8553604,-1.8553604,30,1.0,0.0125,0.0,-0.017944487074651846,-0.106588098939367,-0.21396663936125343,-39.5,1200,nan,nan,120,0.1,0.003125,0.0,-0.06771272811414848,-0.14563269260120698,-0.28075434548283973,-39.875,4800
3,0.4477913,0.041237745,-1.8716824,-1.8716824,40,1.0,0.2025,0.0,-0.00511035633862124,-0.12911005031223108,-0.28114730204850197,-31.9,1600,nan,nan,160,0.0,0.0,0.0,-0.06770518317569511,-0.19013267103697282,-0.35873330880060544,-40.0,6400
4,0.44777152,0.041351147,-2.361883,-2.361883,50,1.0,0.11,0.0,-0.002327669762672603,-0.16484053413098834,-0.4021000682084683,-35.6,2000,nan,nan,200,0.0,0.0,0.0,-0.0773830664250507,-0.19223689957611256,-0.3745920432347737,-40.0,8000
5,0.44844666,0.042065706,-2.5748746,-2.5748746,60,1.0,0.1125,0.0,-0.003931279851205065,-0.16005202850408876,-0.4943623875126913,-35.5,2400,nan,nan,240,0.0,0.0,0.0,-0.07814502680577895,-0.21059157413989932,-0.43016818457636513,-40.0,9600
6,0.44814813,0.042058244,-2.8806555,-2.8806555,70,1.0,0.07,0.0,-0.0010699856197052221,-0.0968289025628707,-0.2531911896545722,-37.2,2800,nan,nan,280,0.1,0.013125000000000001,0.0,-0.05649424615219496,-0.16224791371582747,-0.35437111129048954,-39.475,11200
7,0.44775775,0.041558262,-3.2262127,-3.2262127,80,1.0,0.0625,0.0,-0.00048810394815451615,-0.09495090368482353,-0.26250602629978903,-37.5,3200,nan,nan,320,0.0,0.0,0.0,-0.05475215474164389,-0.14965061778248953,-0.3400060014541166,-40.0,12800
8,0.44743785,0.041428395,-3.716494,-3.716494,90,1.0,0.065,0.0,-0.0018294569020180635,-0.11913511455740461,-0.35528418383788274,-37.4,3600,nan,nan,360,0.0,0.0,0.0,-0.05426680716124219,-0.14835235381461906,-0.3576682146672311,-40.0,14400
9,0.4472094,0.041156583,-4.2157593,-4.2157593,100,0.0,0.0,0.0,-0.06512160601976365,-0.0935029383719749,-0.27014913648956845,-40.0,4000,nan,nan,400,0.0,0.0,0.0,-0.05288650991320772,-0.13425181833571312,-0.3274361758907866,-40.0,16000
10,0.4468353,0.040810283,-4.5251536,-4.5251536,110,1.0,0.0575,0.0,-0.012838848798874446,-0.09225926374987424,-0.23062270361023088,-37.7,4400,nan,nan,440,0.0,0.0,0.0,-0.05241371621537698,-0.12636656899964682,-0.3201792512608492,-40.0,17600
11,0.44633424,0.040203813,-5.2023535,-5.2023535,120,0.0,0.0,0.0,-0.06588106075707584,-0.09549659304891303,-0.2543690401380697,-40.0,4800,nan,nan,480,0.0,0.0,0.0,-0.052864530995838745,-0.10860537408991724,-0.28632853076682274,-40.0,19200
12,0.4458516,0.039572664,-5.5141935,-5.5141935,130,0.0,0.0,0.0,-0.05905100666372548,-0.08994408298881376,-0.2451470544961829,-40.0,5200,nan,nan,520,0.0,0.0,0.0,-0.05404778008821167,-0.10527685573371001,-0.2542827458670107,-40.0,20800
13,0.44552255,0.03970473,-5.8872433,-5.8872433,140,0.0,0.0,0.0,-0.0535006226821355,-0.09557517289030461,-0.3228401839197204,-40.0,5600,nan,nan,560,0.0,0.0,0.0,-0.053385778835201944,-0.12686256588988618,-0.3542838926353157,-40.0,22400
14,0.44507322,0.039662775,-6.2721167,-6.2721167,150,0.0,0.0,0.0,-0.05390666718106606,-0.07878403234303935,-0.2664320051121226,-40.0,6000,nan,nan,600,0.0,0.0,0.0,-0.05252991564048286,-0.1314707944601376,-0.3138788823722461,-40.0,24000
15,0.44458386,0.03941544,-6.6945825,-6.6945825,160,0.0,0.0,0.0,-0.05208017317239297,-0.08131301488556383,-0.2700503349979482,-40.0,6400,nan,nan,640,0.0,0.0,0.0,-0.05217376703416221,-0.10855062848797004,-0.2851305255210174,-40.0,25600
16,0.44396368,0.03901159,-6.604718,-6.604718,170,1.0,0.065,0.0,-0.005748935811146792,-0.07502623185710931,-0.2570309804720107,-37.4,6800,nan,nan,680,0.0,0.0,0.0,-0.05248197938404392,-0.08886698484478886,-0.2542524945646753,-40.0,27200
17,0.44341728,0.038706843,-7.4336452,-7.4336452,180,0.0,0.0,0.0,-0.05469958179608383,-0.08005531319180773,-0.24857985235548496,-40.0,7200,nan,nan,720,0.0,0.0,0.0,-0.05237880388254568,-0.09954542047820578,-0.2757956250678186,-40.0,28800
18,0.4427892,0.03834232,-7.815253,-7.815253,190,0.0,0.0,0.0,-0.06473868952173815,-0.09429822279541927,-0.25547460415382794,-40.0,7600,nan,nan,760,0.0,0.0,0.0,-0.05305906185468088,-0.09342620487869212,-0.2569891528051245,-40.0,30400
19,0.4422607,0.037948817,-8.129648,-8.129648,200,0.0,0.0,0.0,-0.057042080722399045,-0.08815285417595291,-0.22486422146574558,-40.0,8000,nan,nan,800,0.0,0.0,0.0,-0.05578016115576047,-0.10612991339779501,-0.24470088844895904,-40.0,32000
20,0.441906,0.037587415,-8.390393,-8.390393,210,0.0,0.0,0.0,-0.06526669542035725,-0.09172871209545094,-0.26891756049303134,-40.0,8400,nan,nan,840,0.0,0.0,0.0,-0.0539948463606096,-0.09948358920318659,-0.2579699730323737,-40.0,33600
21,0.44157735,0.03723606,-7.932516,-7.932516,220,1.0,0.125,0.0,-0.0011645277538529153,-0.08541326753387031,-0.2600519337342579,-35.0,8800,nan,nan,880,0.0,0.0,0.0,-0.05566650342162697,-0.10220906973205031,-0.24331471337984317,-40.0,35200
22,0.44138643,0.03695282,-7.1115265,-7.1115265,230,1.0,0.2,0.0,-0.0014689169254547775,-0.07416875471263064,-0.23467139905333337,-32.0,9200,nan,nan,920,0.1,0.015,0.0,-0.05017447067612009,-0.1038754826917199,-0.24692376645291772,-39.4,36800
23,0.441154,0.036791556,-8.519579,-8.519579,240,1.0,0.0625,0.0,-0.003331655543182725,-0.08517582719443464,-0.25124516683573517,-37.5,9600,nan,nan,960,0.1,0.014374999999999999,0.0,-0.051999940051083195,-0.10984157620155588,-0.2569073140799192,-39.425,38400
24,0.44104484,0.03671557,-7.808058,-7.808058,250,1.0,0.185,0.0,-0.0038378371232752223,-0.07642092598637672,-0.25519493011838773,-32.6,10000,nan,nan,1000,0.3,0.05874999999999999,0.0,-0.041916678843254215,-0.10884439261005445,-0.2500767622454518,-37.65,40000
25,0.44101778,0.036609672,-4.1765075,-4.1765075,260,1.0,0.5525,0.0,-0.0020395012784591195,-0.055085310499735154,-0.23399046782347457,-17.9,10400,nan,nan,1040,0.5,0.08625000000000001,0.0,-0.03140293485312477,-0.09979828432251148,-0.2454743800149816,-36.55,41600
26,0.44100308,0.036559954,-6.23575,-6.23575,270,1.0,0.3275,0.0,-0.0021807068349400057,-0.06675386070911148,-0.21657468022050935,-26.9,10800,nan,nan,1080,0.7,0.094375,0.0,-0.024797826587772732,-0.10553681152196666,-0.26116007490963616,-36.225,43200
27,0.44109818,0.03643323,-4.384247,-4.384247,280,1.0,0.555,0.0,-0.001408630740159007,-0.055174080542451334,-0.23942272622687233,-17.8,11200,nan,nan,1120,0.9,0.2575,0.0,-0.013882828563749946,-0.0891239920622002,-0.2505562704547194,-29.7,44800
28,0.44119975,0.036277656,-3.5928135,-3.5928135,290,1.0,0.63,0.0,-0.0006967613753521642,-0.05081549552423081,-0.2381658598062082,-14.8,11600,nan,nan,1160,1.0,0.301875,0.0,-0.006893634149171664,-0.08051013847309754,-0.2250725897666789,-27.925,46400
29,0.44126558,0.036166552,-3.7910035,-3.7910035,300,1.0,0.63,0.0,-0.002978892066629975,-0.04973486589959157,-0.23970326504835807,-14.8,12000,nan,nan,1200,1.0,0.3075,0.0,-0.008330192957146014,-0.08210406324912031,-0.2517170433180698,-27.7,48000
30,0.44135478,0.03607438,-2.799011,-2.799011,310,1.0,0.715,0.0,-0.0013117191683005374,-0.04337771039288223,-0.2753496460308803,-11.4,12400,nan,nan,1240,1.0,0.40812499999999996,0.0,-0.0032723557489949115,-0.07258939150617505,-0.25606399203197827,-23.675,49600
31,0.44142878,0.03597535,-3.8561053,-3.8561053,320,1.0,0.57,0.0,-0.0016442761496248976,-0.053726704969768446,-0.250008921119412,-17.2,12800,nan,nan,1280,1.0,0.43937499999999996,0.0,-0.0032356452653744087,-0.06750954649428018,-0.2443436473704787,-22.425,51200
32,0.44151103,0.03585148,-2.177753,-2.177753,330,1.0,0.755,0.0,-0.0012688925795420135,-0.0366905559089029,-0.254984716940924,-9.8,13200,nan,nan,1320,1.0,0.5181250000000001,0.0,-0.0027891769077978213,-0.061717333041022025,-0.24734068684153993,-19.275,52800
33,0.44155088,0.035738442,-2.0989568,-2.0989568,340,1.0,0.7525,0.0,-0.0018038012985395647,-0.03743109656819939,-0.25147000871891834,-9.9,13600,nan,nan,1360,1.0,0.5943750000000001,0.0,-0.00330403023021147,-0.05709968703585279,-0.24331434938604946,-16.225,54400
